2025-03-26 21:33:56,-24.39,83.79,877
2025-03-26 21:34:11,-22.61,89.38,1856
2025-03-26 21:34:26,7.46,64.82,1234
2025-03-26 21:34:41,-6.91,2.01,752
2025-03-26 21:34:56,-27.44,68.96,1094
2025-03-26 21:35:11,-15.97,34.84,1156
2025-03-26 21:35:26,3.52,79.77,1508
2025-03-26 21:35:41,36.2,17.95,1120
2025-03-26 21:35:56,21.63,72.72,508
2025-03-26 21:36:11,8.94,73.99,1175
2025-03-26 21:36:26,18.8,25.93,665
2025-03-26 21:36:41,-13.59,77.58,1847
2025-03-26 21:36:56,-48.72,30.72,431
2025-03-26 21:37:11,-7.64,89.07,1602
2025-03-26 21:37:26,46.22,3.76,1521
2025-03-26 21:37:41,-23.1,95.32,1434
2025-03-26 21:37:56,31.2,58.83,1762
2025-03-26 21:38:11,42.12,79.74,1036
2025-03-26 21:38:26,0.85,79.23,333
2025-03-26 21:38:41,-16.64,14.25,1282
2025-03-26 21:38:56,0.04,95.36,1936
2025-03-26 21:39:11,48.94,62.26,450
2025-03-26 21:39:26,-19.83,44.05,870
2025-03-26 21:39:41,33.22,82.82,1831
2025-03-26 21:39:56,39.19,43.94,632
2025-03-26 21:40:11,39.89,5.53,949
2025-03-26 21:40:26,-28.97,20.6,798
2025-03-26 21:40:41,40.04,93.78,1669
2025-03-26 21:40:56,-37.9,90.58,441
2025-03-26 21:41:11,0.71,77.09,1245
2025-03-26 21:41:26,-14.67,55.82,1018
2025-03-26 21:41:41,-22.39,58.49,1943
2025-03-26 21:41:56,-0.71,62.79,727
2025-03-26 21:42:11,35.06,50.85,1597
2025-03-26 21:42:26,-48.14,83.2,314
2025-03-26 21:42:41,-29.51,49.04,462
2025-03-26 21:42:56,14.97,15.23,1437
2025-03-26 21:43:11,44.81,71.75,888
2025-03-26 21:43:26,23.42,87.65,613
2025-03-26 21:43:41,38.61,24.27,882
2025-03-26 21:43:56,17.55,94.74,1425
2025-03-26 21:44:11,6.34,87.61,1548
2025-03-26 21:44:26,3.39,6.88,1617
2025-03-26 21:44:42,-43.13,52.32,608
2025-03-26 21:44:57,-42.21,59.2,326
2025-03-26 21:45:12,40.83,98.41,343
2025-03-26 21:45:27,-33.54,25.84,1952
2025-03-26 21:45:42,-11.8,39.2,975
2025-03-26 21:45:57,-42.11,68.03,1891
2025-03-26 21:46:12,1.46,20.23,473
2025-03-26 21:46:27,-10.83,59.55,1557
2025-03-26 21:46:42,-2.96,0.51,612
2025-03-26 21:46:57,-20.15,18.81,1891
2025-03-26 21:47:12,10.46,86.31,880
2025-03-26 21:47:27,-43.04,42.67,582
2025-03-26 21:47:42,4.45,36.88,558
